                              name                               |                                domain                                 | count_for_domain 
 The Blues Kitchen                                               | theblueskitchen.com                                                   |                3
 Musafir                                                         | musafir.com.ua                                                        |                3
 Harris + Hoole                                                  | harrisandhoole.co.uk                                                  |                3
 Lina Stores                                                     | linastores.co.uk                                                      |                3
 Costa Coffee                                                    | costa.co.uk                                                           |                3
 Cake Box                                                        | eggfreecake.co.uk                                                     |                3
 Mandarin Oriental                                               | mandarinoriental.com                                                  |                3
 Wagamama                                                        | wagamama.com                                                          |                3
 German Doner Kebab                                              | germandonerkebab.com                                                  |                3
 Côte Brasserie                                                  | cote.co.uk                                                            |                3
 The Pig                                                         | thepighotel.com                                                       |                3
 TGI Fridays                                                     | tgifridays.co.uk                                                      |                3
 The Salty Donut                                                 | saltydonut.com                                                        |                3
 Six by Nico                                                     | sixbynico.co.uk                                                       |                3
 Cactus Jack's                                                   | cactusjacks.com.au                                                    |                3
 Thai Square                                                     | thaisq.com                                                            |                3
 Caffè Concerto                                                  | caffeconcerto.co.uk                                                   |                3
 Four Seasons                                                    | fs-restaurants.co.uk                                                  |                3
 Fazenda                                                         | fazenda.co.uk                                                         |                3
 Eat Tokyo                                                       | eattokyo.co.uk                                                        |                3
 Indian Accent                                                   | indianaccent.com                                                      |                3
 Tapas Brindisa                                                  | brindisakitchens.com                                                  |                3
 The Lunch Box                                                   | thelunchbox.co.uk                                                     |                3
 PizzaExpress                                                    | pizzaexpress.com                                                      |                3
 Junkyard Golf Club                                              | junkyardgolfclub.co.uk                                                |                3
 STK                                                             | stksteakhouse.com                                                     |                3
 Santa Maria                                                     | santamariapizzeria.com                                                |                3
 Cafe Murano                                                     | cafemurano.co.uk                                                      |                3
 Nando's                                                         | nandos.ie                                                             |                3
 KFC                                                             | kfc.co.uk                                                             |                3
 Wetherspoons                                                    | jdwetherspoon.com                                                     |                3
 Radio Alice Pizzeria                                            | radioalicepizzeria.co.uk                                              |                3
 Ippudo                                                          | ippudony.com                                                          |                3
 Wright Brothers                                                 | thewrightbrothers.co.uk                                               |                3
 Tattu                                                           | tattu.co.uk                                                           |                3
 Copenhagen Coffee Lab                                           | copenhagencoffeelab.com                                               |                3
 Fego                                                            | hellofego.com                                                         |                3
 Wildwood                                                        | wildwoodrestaurants.co.uk                                             |                3
 BaoziInn                                                        | baoziinn.com                                                          |                3
