                              name                               |                                domain                                 | count_for_domain 
 The Soak                                                        | thesoak.co.uk                                                         |                1
 Starbucks Coffee                                                | starbucks.co.uk                                                       |                1
 Peck Peck                                                       | peckpeck.co.uk                                                        |                1
 Casa Argentina                                                  | casaargentina.co.uk                                                   |                1
 The Creagan Inn                                                 | creaganinn.co.uk                                                      |                1
 Le Bab                                                          | eatlebab.com                                                          |                1
 Telepizza                                                       | telepizza.ch                                                          |                1
 Portsmouth Brewery                                              | portsmouthbrewery.com                                                 |                1
 Café Central                                                    | cafecentral.wien                                                      |                1
 Starbucks                                                       | starbucks.es                                                          |                1
 Kappo Masa                                                      | kappomasanyc.com                                                      |                1
 Prime Steak House                                               | primestkhouse.com                                                     |                1
 Bistro Aix                                                      | bistroaix.co.uk                                                       |                1
 The Goring Hotel                                                | thegoring.com                                                         |                1
 Gran Clavel                                                     | granclavel.com                                                        |                1
 Café Eiles                                                      | cafe-eiles.at                                                         |                1
 Ten Ten Room                                                    | tentenroom.com                                                        |                1
 The Hare and Hounds                                             | thehareandhounds.net                                                  |                1
 Judges                                                          | judgesrestaurant.com                                                  |                1
 Comptoir Cafe & Wine                                            | comptoir-cafe-and-wine.co.uk                                          |                1
 The Zetland Arms                                                | zetlandarms.co.uk                                                     |                1
 Black Market                                                    | blackmarketleeds.co.uk                                                |                1
 Hilton Rose Hall Resort & Spa                                   | www3.hilton.com                                                       |                1
 Tamarind Tree                                                   | tamarindtreerestaurant.com                                            |                1
 José                                                            | josepizarro.com                                                       |                1
 Bar do Fundo                                                    | facebook.com                                                          |                1
 Tai Pan                                                         | taiwu.co.uk                                                           |                1
 Paesan                                                          | paesanlondon.com                                                      |                1
 Original Sin                                                    | originalsin.bar                                                       |                1
 Nonnas                                                          | nonnas.co.uk                                                          |                1
 Kashmir                                                         | kashmir-indian-portsmouth.co.uk                                       |                1
 The King & Co                                                   | thekingandco.uk                                                       |                1
 Acorn                                                           | acorngodalming.com                                                    |                1
 The Bonnie Badger                                               | bonniebadger.com                                                      |                1
 David Duncan House                                              | davidduncanhouse.com                                                  |                1
 Sapori Del Sud                                                  | sapori-del-sud-pizza-restaurant.business.site                         |                1
 Kvarnen                                                         | kvarnen.com                                                           |                1
 Camp Coffee Company                                             | campcoffeecompany.com                                                 |                1
 Casamia Bristol                                                 | casamiarestaurant.co.uk                                               |                1
 Boxcar Bar & Kitchen                                            | boxcar.co.uk                                                          |                1
 Flying Shuttle                                                  | flyingshuttlepubhaverhill.co.uk                                       |                1
 LA VACA ATADA                                                   | lavacaatada.es                                                        |                1
 Midori                                                          | midoripenhalonga.com                                                  |                1
 Circolo Popolare                                                | bigmammagroup.com                                                     |                1
 Sahara Imbiss                                                   | saharaimbiss.de                                                       |                1
 Alice House - Queens Park                                       | alicehouse.co.uk                                                      |                1
 Fairmont                                                        | fairmont.com                                                          |                1
 Mother Mash                                                     | mothermash.co.uk                                                      |                1
 The Smokehouse Restaurant                                       | thesmokehouseormesby.com                                              |                1
 The Jugged Hare                                                 | thejuggedhare.com                                                     |                1
 Holy Cow                                                        | holycow.no                                                            |                1
 Leen's                                                          | leens.com                                                             |                1
 Osteria Maracuja                                                | osteriamaracuja.com                                                   |                1
 Booths                                                          | booths.co.uk                                                          |                1
 Strongroom Bar                                                  | strongroombar.com                                                     |                1
 Discovery Point and RRS Discovery                               | rrsdiscovery.co.uk                                                    |                1
 The Tap                                                         | thebrewerytapderby.co.uk                                              |                1
 La Hummuseria                                                   | lahummuseria.es                                                       |                1
 Cornish Fresh                                                   | cornishfresh.com                                                      |                1
 Gurnard's Head                                                  | gurnardshead.co.uk                                                    |                1
 The Coffee Apothecary                                           | thecoffeeapothecary.co.uk                                             |                1
 The National Holocaust Centre and Museum                        | holocaustcentre.net                                                   |                1
 Hoxton Beach                                                    | hoxtonbeach.com                                                       |                1
 PickEatUp                                                       | pickeatup.dk                                                          |                1
 Tacos Del74                                                     | tacosdel74.com                                                        |                1
 Ellon Castle Gardens                                            | elloncastlegardens.net                                                |                1
 Disney's Contemporary Resort                                    | disneyworld.co.uk                                                     |                1
 Slug & Lettuce                                                  | slugandlettuce.co.uk                                                  |                1
 The O2                                                          | theo2.co.uk                                                           |                1
 Acoustic Brasserie                                              | acousticbrasserie.co.uk                                               |                1
 The Fat Duck                                                    | wongnai.com                                                           |                1
 Herb House Spa                                                  | limewoodhotel.co.uk                                                   |                1
 Jondal                                                          | casajondal.es                                                         |                1
 Andrade's International                                         | andradesinternational.com                                             |                1
 The Drawing Room at Brown's Hotel                               | roccofortehotels.com                                                  |                1
 abc kitchen                                                     | abckitchens.nyc                                                       |                1
 Sir Christopher Wren Hotel and Spa                              | sirchristopherwren.co.uk                                              |                1
 Cremosi                                                         | cremosi.com                                                           |                1
 The BUN House                                                   | the-bun-house.business.site                                           |                1
 Cricketers Rest                                                 | castlerockbrewery.co.uk                                               |                1
 Akropolis                                                       | akropolis.co.uk                                                       |                1
 Chotto Matte                                                    | raintreehospitality.net                                               |                1
 Cheal's of Henley                                               | chealsofhenley.co.uk                                                  |                1
 Casa Tua Cucina                                                 | casatuacucina.com                                                     |                1
 El Café de la Plata                                             | elcafedelaplata.net                                                   |                1
 Bigotes Street Tacos                                            | bigotesstreettacos.com                                                |                1
 Ashiana Takeaway                                                | ashiananorthampton.co.uk                                              |                1
 Mercado de San Miguel                                           | mercadodesanmiguel.es                                                 |                1
 Two Lights                                                      | twolights.restaurant                                                  |                1
 Tvrđava Minčeta                                                 | wallsofdubrovnik.com                                                  |                1
 PIC Perfect Ice Cream                                           | theperfecticecream.pt                                                 |                1
 Noodle Nation                                                   | noodlenation.com                                                      |                1
 About Thyme                                                     | aboutthyme.co.uk                                                      |                1
 The Mill                                                        | the-mill-pub.co.uk                                                    |                1
 The Coach & Horses, Soho                                        | coachandhorsessoho.pub                                                |                1
 Poke Boll                                                       | pokeboll.it                                                           |                1
 Pizza Point                                                     | instagram.com                                                         |                1
 Bohemia                                                         | bohemiastneots.com                                                    |                1
 Black Milk                                                      | blackmilkcereal.com                                                   |                1
 Reggae Boxing Bar                                               | reggaebar-bar.business.site                                           |                1
 Hove Place                                                      | hoveplace.co.uk                                                       |                1
 Market House                                                    | market-house.co.uk                                                    |                1
 The Greyhound                                                   | thegreypub.com                                                        |                1
 Chek Jawa Boardwalk                                             | nparks.gov.sg                                                         |                1
 Fat Shish                                                       | fatshishrestaurant.com                                                |                1
 Osteria CasaCiaccia                                             | osteriacasaciaccia.it                                                 |                1
 Sala Thong                                                      | salathong.co.uk                                                       |                1
 Talutti                                                         | talutti.lt                                                            |                1
 MOOY                                                            | mooyantwerp.be                                                        |                1
 Nissi                                                           | nissirestaurant.co.uk                                                 |                1
 The Pear                                                        | thepearatparley.com                                                   |                1
 The Bull                                                        | thebullhighgate.co.uk                                                 |                1
 Bistro C                                                        | bistroc.com.au                                                        |                1
 Restaurant Chestnut                                             | restaurantchestnutwestcork.ie                                         |                1
 Cricks Corner                                                   | crickscorner.co.uk                                                    |                1
 The Lodge                                                       | thelodge.eu                                                           |                1
 Crannag Bistro                                                  | crannag.com                                                           |                1
 Spoonfed                                                        | spoonfedkitchen.com                                                   |                1
 Poppy's Cafe                                                    | poppyscafe.co.uk                                                      |                1
 Stella's                                                        | stellasrichmond.com                                                   |                1
 Leroy                                                           | leroyshoreditch.com                                                   |                1
 Villa María                                                     | villamaria.com.mx                                                     |                1
 The Oakley Court                                                | oakleycourt.co.uk                                                     |                1
 Maray Bold Street                                               | maray.co.uk                                                           |                1
 The Falcon                                                      | falconrestaurant.co.uk                                                |                1
 Wheelcake Island                                                | wheelcakeisland.com                                                   |                1
 SEA LIFE Brighton                                               | visitsealife.com                                                      |                1
 Biff's Jack Shack                                               | biffsjackshack.com                                                    |                1
 The Melusine                                                    | themelusine.co.uk                                                     |                1
 Tvrdava Revelin                                                 | tzdubrovnik.hr                                                        |                1
 Alexander Express                                               | alexanderexpress.co.uk                                                |                1
 Couzapín                                                        | couzapin.es                                                           |                1
 Alinea                                                          | alinea-restaurant.com                                                 |                1
 The Fives                                                       | thefivealls.co.uk                                                     |                1
 Bastard Burgers                                                 | bastardburgers.se                                                     |                1
 Yi Chan                                                         | yichanbrussels.eatbu.com                                              |                1
 Tasca do Celso                                                  | wonderful.land                                                        |                1
 Hugo’s Pie and Mash                                             | hugospieandmash.com                                                   |                1
 SAID dal 1923                                                   | said.it                                                               |                1
 The Barking Dog                                                 | thebarkingdog.dk                                                      |                1
 Basil & Blue                                                    | facebook.com                                                          |                1
 The Dabbling Duck                                               | thedabblingduck.co.uk                                                 |                1
 Anokhi                                                          | anokhi-restaurant.co.uk                                               |                1
 Fire                                                            | firebarcelona.com                                                     |                1
 Titanic Deluxe Bodrum                                           | titanic.com.tr                                                        |                1
 Angelo's Coal Oven Pizzeria                                     | angelospizzany.com                                                    |                1
 At The Movies Posters                                           | atthemovies.co.uk                                                     |                1
 90 On The Green                                                 | 90onthegreen.co.uk                                                    |                1
 Woodman's                                                       | woodmans.com                                                          |                1
 The Sir Walter Tyrrell                                          | thesirwaltertyrrell.co.uk                                             |                1
 Rocksalt                                                        | rocksaltepsom.co.uk                                                   |                1
 Chorleywood Common                                              | chorleywood-pc.gov.uk                                                 |                1
 Casa do Campo                                                   | casadocampo-restaurante.com                                           |                1
 Sushi at the Park                                               | sushiatthepark.com                                                    |                1
 The Brookhouse                                                  | greatukpubs.co.uk                                                     |                1
 Cakery Bay                                                      | cakerybay.co.uk                                                       |                1
 Big Fat Gourmet                                                 | bigfatgourmets.co.uk                                                  |                1
 Austin Beerworks                                                | austinbeerworks.com                                                   |                1
 Gordon Ramsay Bar & Grill                                       | gordonramsayrestaurants.com                                           |                1
 The Bootlegger                                                  | thebootleggerpub.co.uk                                                |                1
 The Ivy Marlow Garden                                           | theivymarlowgarden.com                                                |                1
 Monk                                                            | monkbar-matlock.co.uk                                                 |                1
 Hon's Chinese Restaurant                                        | honsrestaurant.co.uk                                                  |                1
 Le Perchoir                                                     | leperchoir.tv                                                         |                1
 The Commercial                                                  | thecommercialhotelhernehill.co.uk                                     |                1
 Azteca                                                          | aztecalatinlounge.com                                                 |                1
 The Canal House                                                 | thecanalhouse.uk.com                                                  |                1
 Frantoio                                                        | frantoio.co.uk                                                        |                1
 The Elder                                                       | theelder.co.uk                                                        |                1
 Seafood Shack                                                   | seafoodshack.co.uk                                                    |                1
 Vennell's                                                       | vennellsrestaurant.co.uk                                              |                1
 The Black Swan                                                  | blackswanoldstead.co.uk                                               |                1
 Le Domaine du Seudre                                            | domaineduseudre-restaurant.com                                        |                1
 La Residencia                                                   | laresidencia.net                                                      |                1
 Cafe Royal                                                      | caferoyallspa.co.uk                                                   |                1
 Nopi                                                            | ottolenghi.co.uk                                                      |                1
 The Lock                                                        | thelockquaysmarina.com                                                |                1
 The Engineer                                                    | theengineerharpenden.co.uk                                            |                1
 The M Kitchen                                                   | themkitchen.co.uk                                                     |                1
 Sobrino de Botín                                                | botin.es                                                              |                1
 Edinburgh Castle                                                | edinburghcastle.scot                                                  |                1
 Juancho's BBQ                                                   | juanchosbbq.com                                                       |                1
 Suzana Ribs & Wings                                             | suzanaribs.ro                                                         |                1
 Pibroch                                                         | pibroch-scottish-restaurant.co.uk                                     |                1
 Balance                                                         | balancekitchen.co.uk                                                  |                1
 Tandoori Nights                                                 | tandoori-nights.edan.io                                               |                1
 Limin' Beach Club                                               | limin.co.uk                                                           |                1
 Grow                                                            | growhackney.co.uk                                                     |                1
 Winteringham Fields                                             | winteringhamfields.co.uk                                              |                1
 Big Jim's                                                       | bigjimsrestaurant.com                                                 |                1
 Bella Italia - Bluewater Shopping Centre                        | bellaitalia.co.uk                                                     |                1
 Hoocut                                                          | hoocut.com                                                            |                1
 Aquaventure                                                     | atlantis.com                                                          |                1
 Farzi Cafe                                                      | farzilondon.com                                                       |                1
 Brixham Harbour                                                 | tor-bay-harbour.co.uk                                                 |                1
 MOON - Move Ortigia Out of Normality                            | moonortigia.com                                                       |                1
 Guinness Storehouse                                             | guinness-storehouse.com                                               |                1
 Restaurante Zulu (Es Grop)                                      | restaurantesesgrop.es                                                 |                1
 Madame Pigg                                                     | madamepigg.com                                                        |                1
 The Fountain                                                    | tuddenhamfountain.co.uk                                               |                1
 Public                                                          | clip.chatfood.io                                                      |                1
 Bird Dog                                                        | birddogmattawan.com                                                   |                1
 Rayleigh Lodge                                                  | emberinns.co.uk                                                       |                1
 Sport Lisbon and Benfica Stadium                                | slbenfica.pt                                                          |                1
 Likya                                                           | likyatakeaway.co.uk                                                   |                1
 Torst                                                           | torstnyc.com                                                          |                1
 The Guildhall Village                                           | theguildhallvillage.com                                               |                1
 The Town Mouse                                                  | townmousealehouse.co.uk                                               |                1
 Restaurante Illeta                                              | illeta.com                                                            |                1
 Zilt&Zout                                                       | ziltenzoutcadzand.nl                                                  |                1
 Tropical Nomad Coworking Space                                  | bit.ly                                                                |                1
 Cantina 41                                                      | cantina41.com                                                         |                1
 Pizza Spot                                                      | pizza-spot.nl                                                         |                1
 Fuego at Troika Sky Dining                                      | troikaskydining.com                                                   |                1
 The Tinsmith                                                    | the-tinsmith.co.uk                                                    |                1
 Santini                                                         | santinirestaurant.com                                                 |                1
 Rockfish                                                        | jumeirah.com                                                          |                1
 PAI                                                             | paitoronto.com                                                        |                1
 Tewin Bury Farm Hotel                                           | tewinbury.co.uk                                                       |                1
 Finka Table & Tap                                               | finkarestaurant.com                                                   |                1
 Duchy Of Cornwall Nursery                                       | duchyofcornwallnursery.co.uk                                          |                1
 Fishheads                                                       | restaurantbyronbay.com.au                                             |                1
 Royale Eatery                                                   | royaleeatery.com                                                      |                1
 Fez Mangal                                                      | fezmangal.com                                                         |                1
 Hanam's                                                         | hanams.com                                                            |                1
 Peruvian Cuisine NL "The Real Peruvian Kitchen"                 | peruviancuisine.nl                                                    |                1
 Mercado de San Fernando                                         | mercadodesanfernando.es                                               |                1
 The Patio                                                       | patioribs.com                                                         |                1
 Anytime Fitness                                                 | anytimefitness.co.uk                                                  |                1
 Eno                                                             | eno.com.mx                                                            |                1
 HR Higgins                                                      | hrhiggins.co.uk                                                       |                1
 Gilpin Lake House                                               | thegilpin.co.uk                                                       |                1
 Pride & Provenance                                              | visitcalderdale.com                                                   |                1
 Amber Steak House                                               | ambersteak.house                                                      |                1
 LSQ Rooftop                                                     | lsqrooftop.com                                                        |                1
 Paternoster Chop House                                          | paternosterchophouse.co.uk                                            |                1
 Double Knot                                                     | doubleknotphilly.com                                                  |                1
 Bun House Apartment Khonkaen                                    | renthub.in.th                                                         |                1
 Healing Manor Hotel                                             | healingmanorhotel.co.uk                                               |                1
 The Italian Club                                                | theitalianclubliverpool.co.uk                                         |                1
 Dabbers Social Bingo                                            | dabbers.bingo                                                         |                1
 Ruddy Duck Fish House                                           | thedirtyduckalehouse.co.uk                                            |                1
 Athens Greek Restaurant                                         | athensgreekrestaurant.com                                             |                1
 The Park Tower Knightsbridge                                    | marriott.com                                                          |                1
 Undici                                                          | undici.dk                                                             |                1
 Tribes                                                          | tribesrestaurant.com                                                  |                1
 Mr Chow                                                         | mrchow.com                                                            |                1
 Banyers House                                                   | banyershouse.co.uk                                                    |                1
 Hélène Darroze at The Connaught                                 | the-connaught.co.uk                                                   |                1
 The Phoenix                                                     | phoenixcavendishsquare.co.uk                                          |                1
 Megan’s on the High Street                                      | megans.co.uk                                                          |                1
 Rubedo                                                          | rubedolondon.com                                                      |                1
 The Cyclist                                                     | cyclistbalham.co.uk                                                   |                1
 Côte Brasserie - Marlow                                         | cote.co.uk                                                            |                1
 Indian Ocean Brewing Company                                    | themarinamindarie.com                                                 |                1
 Tower Hotel                                                     | thetowerhotel.com.au                                                  |                1
 Loetje Oost                                                     | oost.loetje.nl                                                        |                1
 The Little Kitchen                                              | thelittlekitchen.ch                                                   |                1
 Angels Hotel                                                    | angelshotel.co.uk                                                     |                1
 Red Cow                                                         | redcowpub.com                                                         |                1
 Kana Lounge                                                     | thekanacafe.com                                                       |                1
 Mimmo La Bufala                                                 | mimmolabufala.co.uk                                                   |                1
 Cine Lumiere                                                    | institut-francais.org.uk                                              |                1
 Speakers' Corner                                                | speakerscorner.net                                                    |                1
 Haveanavo                                                       | haveanavo.com                                                         |                1
 The Harp and Crown                                              | theharpandcrown.com                                                   |                1
 Coco di Mama                                                    | cocodimama.co.uk                                                      |                1
 The Italian Farmhouse Coxhoe                                    | theitalianfarmhousecoxhoe.co.uk                                       |                1
 Seven Stars                                                     | sevenstarsstroud.co.uk                                                |                1
 Oceano                                                          | oceanorestaurant.co.uk                                                |                1
 The Woolpack                                                    | woolpackbar.com                                                       |                1
 Mezzaluna                                                       | mezzalunanyc.com                                                      |                1
 The Queens                                                      | youngs.co.uk                                                          |                1
 Quisine Restaurant                                              | quisine-restaurant.business.site                                      |                1
 Wander                                                          | wanderrestaurant.com                                                  |                1
 The Dirty Duck Alehouse                                         | thedirtyduckalehouse.co.uk                                            |                1
 The Square                                                      | thesquare-holmergreen.com                                             |                1
 The Wacky Barber                                                | wackysoho.co.uk                                                       |                1
 Scutchers                                                       | scutchers.com                                                         |                1
 The Larch Barn                                                  | thelarchbarn.co.uk                                                    |                1
 Jarir Bookstore                                                 | jarir.com                                                             |                1
 Chingu Cafe                                                     | chingucafe.com                                                        |                1
 Nervous Charlie's                                               | nervouscharlies.com                                                   |                1
 Gardenia                                                        | gardis.co.uk                                                          |                1
 Alimama Tea                                                     | alimamanyc.com                                                        |                1
 Stella Blu                                                      | stellablu-nh.com                                                      |                1
 Roosters Piri Piri                                              | roosterspiripiri.com                                                  |                1
 Village Square Pizza                                            | villagesquarepizzanyc.com                                             |                1
 Naif                                                            | wolt.com                                                              |                1
